,Provider ID,Service Name,Base Name / Site,State,City,Zip,Location Type,# RW,# FW,NPIAS,Level 1
RW,CO001,AirLife Denver,Sky Ridge Medical Center,CO,Lone Tree,80124,Hospital,2*,,,
RW,CO001,AirLife Denver,Cheyenne Regional,WY,Cheyenne,82001,Airport,1,,Y,
RW,GA001,AirLife GA,Union General Hospital,GA,Blairsville,30512,Hospital,2,,,
RW,GA001,AirLife GA,Camilla Base-Mitchell County Airport,GA,Camilla,31730,Airport,1,,Y,
RW,GA001,AirLife GA,Habersham County Airport,GA,Cornelia,30531,Airport,1,,Y,
RW,GA001,AirLife GA,Griffin Base–Griffin Spalding Airport,GA,Griffin,30224,Airport,1,,Y,
RW,GA001,AirLife GA,Jasper Base – Pickens Co. Fire HQ Station 1,GA,Jasper,30143,Airport,1,,Y,
RW,GA001,AirLife GA,Kennesaw Base - McCollum Airport,GA,Kennesaw,30144,Airport,1,,Y,
RW,GA001,AirLife GA,Newnan Base -Newnan Coweta Airport,GA,Newnan,30263,Airport,4*,,Y,
RW,GA001,AirLife GA,Covington Municipal Airport,GA,Oxford,30054,Airport,1,,Y,
RW,GA001,AirLife GA,Effingham Co. EMS,GA,Springfield,30312,Helipad,1,,,
RW,GA001,AirLife GA,Valdosta Regional Airport,GA,Valdosta,31601,Airport,,1,Y,
RW,WA001,Airlift Northwest,Juneau Airport,AK,Juneau,99801,Airport,,4,N,
RW,WA001,Airlift Northwest,Arlington Municipal Airport,WA,Arlington,98223,Airport,1,,Y,
RW,WA001,Airlift Northwest,St. Joseph Hospital,WA,Bellingham,98225,Hospital,1,,,
RW,WA001,Airlift Northwest,Bremerton,WA,Bremerton,98312,Airport,1,,Y,
RW,WA001,Airlift Northwest,Olympia Regional Airport,WA,Olympia,98501,Airport,1,,Y,
RW,WA001,Airlift Northwest,Boeing Field - King County International,WA,Seattle,98108,Airport,1,2,Y,
RW,WA001,Airlift Northwest,Pangborn Memorial Airport,WA,Wenatchee,98802,Airport,1,,N,
RW,WA001,Airlift Northwest,McCormick Air Center,WA,Yakima,98903,Airport,,1,Y,
RW,OR001,AirLink Critical Care Transport,Bend Municipal Airport,OR,Bend,97701,Airport,,2*,Y,
RW,OR001,AirLink Critical Care Transport,St. Charles Medical Center,OR,Bend,97701,Hospital,2*,,,
RW,OR001,AirLink Critical Care Transport,Klamath Falls Airport,OR,Klamath Falls,97603,Airport,1,1,N,
FW,AL004,"AirMed International, LLC",Birmingham International Airport,AL,Birmingham,35212,Airport,,3#,N,
FW,AL004,"AirMed International, LLC",Denver Centennial Airport,CO,Denver,80112,Airport,,2,Y,
FW,AL004,"AirMed International, LLC",McCarran International Airport,NV,Las Vegas,89111,Airport,,1,Y,
FW,AL004,"AirMed International, LLC",San Antonio International Airport,TX,San Antonio,78216,Airport,,2,Y,
RW,AL001,Alabama Life Saver,Children’s Hospital of Alabama CareFlight,AL,Birmingham,35233,Hospital,2*#,,,Y
RW,AL001,Alabama Life Saver,Cusseta Base –Lifesaver 3,AL,Cusseta,36852,Helipad,1,,,
RW,AL001,Alabama Life Saver,Sylacauga Municipal Airport/Merkel Field,AL,Sylacauga,35151,Airport,1,,Y,
RW,AK003,Alaska Air National Guard,Joint Base Elmendorf- Richardson,AK,Anchorage,99506,Airport *,5#,6,N,
RW,AK003,Alaska Air National Guard,Eielson AFB,AK,Fairbanks,99702,Airport *,1,,N,
FW,MO014,Alpha Air One,Joplin Regional Airport,MO,Webb City,64870,Airport,,1,Y,
FW,ND005,Altru Care Flight,Grand Forks Regional Airport,ND,Grand Forks,58203,Airport,,1,N,
FW,TX021,"American Jet International, Air Medical",William P. Hobby Airport,TX,Houston,77061,Airport,,1,N,
FW,NV002,American Medflight,Elko Regional Airport,NV,Elko,89801,Airport,,1,N,
FW,NV002,American Medflight,Ely Airport,NV,Ely,89301,Airport,,1,Y,
FW,NV002,American Medflight,Reno/Tahoe International Airport,NV,Reno,89502,Airport,,2,N,
FW,NV002,American Medflight,Yerington Municipal Airport,NV,Yerington,89447,Airport,,2,Y,
RW,AR003,Angel One Transport*,Arkansas Children's Hospital,AR,Little Rock,72202,Hospital,2,,,Y
RW,TX028,Apollo MedFlight,Guymon Municipal Airport,OK,Guymon,73942,Airport,1*,1,Y,
RW,TX028,Apollo MedFlight,Golden Plains Community Hospital,TX,Borger,79007,Hospital,1,,,
RW,TX028,Apollo MedFlight,Childress Regional Medical Center,TX,Childress,79201,Hospital,1,,,
RW,MO004,ARCH Air Medical Service,"Effingham, IL",IL,Effingham,62401,Helipad,1,,,
RW,MO004,ARCH Air Medical Service,Granite City,IL,Granite City,62040,Helipad,1,,,
RW,MO004,ARCH Air Medical Service,"Litchfield, IL",IL,Litchfield,62056,Helipad,1,,,
RW,MO004,ARCH Air Medical Service,Southern Illinois Airport,IL,Murphysboro,62966,Airport,1,,Y,
RW,MO004,ARCH Air Medical Service,"Sparta Airport, IL",IL,Sparta,62286,Airport,1,,Y,
RW,MO004,ARCH Air Medical Service,Sullivan Airport,MO,Sullivan,63080,Airport,1,,Y,
RW,AZ009,Arizona Department of Public Safety Air Rescue,Northern Air Rescue – Flagstaff Pulliam Airport,AZ,Flagstaff,86001,Airport,2*,,N,
RW,AZ009,Arizona Department of Public Safety Air Rescue,Western Air Rescue - Kingman Regional Medical Center,AZ,Kingman,86401,Hospital,1,,,
RW,AZ009,Arizona Department of Public Safety Air Rescue,Central Air Rescue – Phoenix Fire Station 41,AZ,Phoenix,85023,Helipad,1,,,
RW,AZ009,Arizona Department of Public Safety Air Rescue,Southern Air Rescue – Tucson International Airport,AZ,Tucson,85706,Airport,1,,Y,
RW,AZ002,Arizona Lifeline (Tucson),Coolidge Airport,AZ,Coolidge,85128,Airport,1,,Y,
RW,AZ002,Arizona Lifeline (Tucson),Douglas Municipal Airport,AZ,Douglas,85607,Airport,1,,N,
RW,AZ002,Arizona Lifeline (Tucson),St. David Base,AZ,St. David,85630,Helipad,1,,,
RW,WI004,"Ascension Wisconsin
Spirit Medical Transport",Stevens Point,WI,Stevens Point,54481,Airport,1,,Y,
RW,WI004,"Ascension Wisconsin
Spirit Medical Transport",Howard Young Medical Center,WI,Woodruff,54568,Hospital,1,,,
RW,WI004,"Ascension Wisconsin
Spirit Medical Transport",Lakeland/Noble F Lee Memorial Field,WI,Woodruff,54568,Airport,,1,Y,
RW,WI008,Aspirus MedEvac,Wausau Downtown Airport,WI,Wausau,55403,Airport,1,,Y,
RW,NJ004,Atlantic Air Medical,Great Northern Helistop,NJ,Netcong,7857,Airport,3#,,,
RW,NJ004,Atlantic Air Medical,Vernon Base,NJ,Vernon Twp,7462,Helipad,1,,,
RW,FL004,Baptist LifeFlight,LifeFlight 3 Helipad,AL,Greenville,36037,Helipad,1,,,
RW,FL004,Baptist LifeFlight,LifeFlight 2 Helipad,AL,Semmes,36575,Helipad,1,,,
RW,FL004,Baptist LifeFlight#,LifeFlight 4 – Brookhaven Helipad,MS,Brookhaven,39601,Helipad,1,,,
RW,FL004,Baptist LifeFlight?,LifefFlight 1 Baptist Hospital,FL,Pensacola,32501,Hospital,1,,,
RW,FL006,Bayflite,Bayflite 4 – Brooksville Tampa Bay Airport,FL,Brooksville,34604,Airport,1,,Y,
RW,FL006,Bayflite,Bayflite 2 - Northport Fire Station,FL,Northport,34286,Helipad,1,,,
RW,FL006,Bayflite,Bayflite 3 - St. Josephs Hospital,FL,Tampa,33629,Hospital,1,,,
RW,MT003,Benefis Mercy Flight,Benefis Healthcare - East Campus,MT,Great Falls,59405,Hospital,1,,,
RW,MT003,Benefis Mercy Flight,Great Falls International Airport,MT,Great Falls,59404,Airport,,1,Y,
RW,SD004,Black Hills Life Flight,Fall River Health Services,SD,Hot Springs,57747,Hospital,1,,,
RW,SD004,Black Hills Life Flight,Rapid City Regional Airport,SD,Rapid City,57703,Airport,1,1,Y,
RW,MA001,Boston Medflight,Mansfield Municipal Airport,MA,Mansfield,2048,Airport,1,,Y,
RW,MA001,Boston Medflight,Hanscom AFB,MA,Bedford,1730,Helipad,1*,1,,
RW,MA001,Boston Medflight,Lawrence Municipal Airport,MA,North Andover,1845,Airport,2,,Y,
RW,MA001,Boston Medflight,Plymouth Municipal Airport,MA,Plymouth,2360,Airport,1,,Y,
FW,AK015,Bristol Bay Area Health Corporation,Dillingham Airport,AK,Dillingham,99576,Airport,,1,Y,
RW,FL003,Broward County Sheriff,Fort Lauderdale Executive Airport,FL,Fort Lauderdale,33309,Airport,4,,Y,
RW,SC009,C.A.R.E. Flight,Colleton Medical Center,SC,Walterboro,29488,Hospital,1,,,
RW,CA021,CA Highway Patrol - Border Division,Thermal Airport,CA,Thermal,92274,Airport,1,,N,
RW,CA019,CA Highway Patrol - Central Division,Fresno Yosemite International Airport,CA,Fresno,93727,Airport,1,,N,
RW,CA022,CA Highway Patrol - Coastal Division,Paso Robles Municipal Airport,CA,Paso Robles,93446,Airport,1,,Y,
RW,CA018,CA Highway Patrol - Golden Gate Division,Napa County Airport,CA,Napa,94558,Airport,2,,N,
RW,CA023,CA Highway Patrol - Inland Division,Apple Valley Airport,CA,Apple Valley,92307,Airport,2,,Y,
RW,CA017,CA Highway Patrol – Northern  Division,Benton Field,CA,Redding,96001,Airport,2,,Y,
RW,CA003,CA Highway Patrol – Valley Division,Auburn Airport,CA,Auburn,95602,Airport,2,,Y,
FW,OR005,Cal-Ore Life Flight / REACH,Jack McNamara Field Airport,CA,Crescent City,95531,Airport,,3,Y,
FW,OR005,Cal-Ore Life Flight / REACH,Murray Field,CA,Eureka,95501,Airport,,2,Y,
FW,OR005,Cal-Ore Life Flight / REACH,Southwest Oregon Regional Airport,OR,North Bend,97459,Airport,,2,N,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR III - Auburn Airport,CA,Auburn,95603,Airport,2,,N,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR I - Buchanan Field Airport,CA,Concord,94520,Airport,1,,Y,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR II - St Louise Reg. Hospital,CA,Gilroy,95020,Hospital,1,,,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR 70-McClellan Airfield,CA,McClellan,95652,Airport,,1,Y,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR XIII - Merced Airport,CA,Merced,95341,Airport,1,,Y,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR XII - Memorial Medical Center Modesto,CA,Modesto,95355,Hospital,1,,,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",Bear Force One at Oakland Airport for UCSF Children's+,CA,Oakland,94621,Hospital,1,,,Y
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR VI- S. Lake Tahoe Airport,CA,S Lake Tahoe,96150,Airport,1,,Y,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR V - Salinas Airport,CA,Salinas,93905,Airport,1,,Y,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR VII - Santa Maria Airport,CA,Santa Maria,93455,Airport,1,,Y,
RW,CA004,"CALSTAR (California
Shock Trauma Air Rescue)",CALSTAR IV - Ukiah Airport,CA,Ukiah,94582,Airport,1,,Y,
RW,NV001,Care Flight REMSA,Beckwourth (Nervino Airport),CA,Beckwourth,96129,Airport,1,,Y,
RW,NV001,Care Flight REMSA,Truckee-Tahoe Airport,CA,Truckee,96161,Airport,1,,Y,
RW,NV001,Care Flight REMSA,Fallon (Banner Health Clinic),NV,Fallon,89406,Hospital,1,,,
RW,NV001,Care Flight REMSA,Gardnerville Helipad,NV,Gardnerville,89410,Hospital,1,,,
RW,NV001,Care Flight REMSA,Reno NV,NV,Reno,89502,Airport,,1,,
RW,MS002,CareFlight (North Mississippi Medical Center),North Mississippi Medical Center (CareFlight 1),MS,Tupelo,38801,Hospital,1,,,
RW,SD001,Careflight (Sioux Falls),Avera St. Luke's Hospital Helipad,SD,Aberdeen,57401,Hospital,2*,,,
RW,SD001,Careflight (Sioux Falls),Joe Foss Field,SD,Sioux Falls,57104,Airport,,2,Y,
RW,SD001,Careflight (Sioux Falls),McKennan Hospital Helipad,SD,Sioux Falls,57117,Hospital,1,,,
RW,SD001,Careflight (Sioux Falls),Pierre Regional Airport,SD,Pierre,57501,Airport,,1,Y,
RW,CO006,CareFlight (St. Mary's),Craig Moffat Airport,CO,Craig,81625,Airport,,1,N,
RW,CO006,CareFlight (St. Mary's),Grand Junction Regional Airport,CO,Grand Junction,81501,Airport,,1,Y,
RW,CO006,CareFlight (St. Mary's),Montrose Memorial Hospital,CO,Montrose,81401,Hospital,1,,,
RW,CO006,CareFlight (St. Mary's),Rifle Airport,CO,Rifle,91650,Airport,1,,Y,
RW,OH001,"Careflight Air and
Mobile Services (Dayton)",Miami Valley Hospital,OH,Dayton,45409,Hospital,1,,,Y
RW,OH001,"Careflight Air and
Mobile Services (Dayton)",Lebanon-Warren County Airport,OH,Lebanon,45036,Airport,2*,,Y,
RW,OH001,"Careflight Air and
Mobile Services (Dayton)",Urbana Airport - Grimes Field,OH,Urbana,43078,Airport,1,,Y,
RW,TX003,CareFlite (Texas),Methodist Hospital of Dallas Helipad,TX,Dallas,75203,Hospital,1,,,Y
RW,TX003,CareFlite (Texas),Harris Methodist Hospital Helipad,TX,Fort Worth,76104,Hospital,1,,,
RW,TX003,CareFlite (Texas),North Texas Medical Center,TX,Gainesville,76240,Hospital,1,,,
RW,TX003,CareFlite (Texas),Granbury Regional Airport,TX,Granbury,76048,Airport,1,,Y,
RW,TX003,CareFlite (Texas),Grand Prairie Airport,TX,Grand Prairie,75052,Airport,1,1,Y,
RW,TX003,CareFlite (Texas),McKinney Air,TX,McKinney,75069,Airport,1,,N,
RW,TX003,CareFlite (Texas),Whitney Air Base,TX,Whitney,76692,Helipad,1,,,
RW,VA003,Carilion Clinic Life-Guard,Life-Guard 11 New River Valley Hangar Helipad,VA,Christiansburg,24073,Hospital,1,,,
RW,VA003,Carilion Clinic Life-Guard,Carilion Westlake Center Heliport,VA,Franklin,24101,Hospital,1,,,Y
RW,VA003,Carilion Clinic Life-Guard,Carilion Lexington Base,VA,Lexington,24450,Helipad,1,,,
RW,VA009,Centra One,Lynchburg Regional Airport,VA,Lynchburg,24502,Airport,1,,Y,
RW,NE001,CHI Health Good Samaritan AirCare,CHI Health - Good Samaritan,NE,Kearney,68847,Hospital,1,,,
RW,CA005,"Children’s Hospital Los
Angeles Emergency Transport+",Van Nuys Airport,CA,Van Nuys,91406,Airport,2,,Y,
RW,MO005,Children’s Mercy Critical Care Transport,Charles B. Wheeler Downtown Airport,MO,Kansas City,64116,Airport,1*,2,Y,
RW,TX013,"Children's Medical Center of  Dallas
Transport Srv#",Dallas Love Field,TX,Dallas,75235,Airport,2*,2*,Y,
RW,GA004,Children's Transport Air (Atlanta),Children's Healthcare of Atlanta- Egleston,GA,Atlanta,30324,Hospital,2#,,,Y
RW,DE002,Christiana Care LifeNet (Delaware),Sussex County Airport,DE,Georgetown,19947,Airport,1,,N,
RW,DE002,Christiana Care LifeNet (Delaware),Christiana Hospital,DE,Newark,19718,Hospital,1,,,Y
RW,AZ003,Classic Air Medical,Fort Mohave,AZ,Fort Mohave,86426,Hospital,1,,,
RW,AZ003,Classic Air Medical,Page Municipal Airport,AZ,Page,86040,Airport,1,2*,Y,
RW,AZ003,Classic Air Medical,Craig-Moffat Airport,CO,Craig,81625,Airport,,1,Y,
RW,AZ003,Classic Air Medical,Valley View Hospital,CO,Glenwood Springs,81601,Hospital,1,,,
RW,AZ003,Classic Air Medical,Stevens Field,CO,Pagosa,81147,Airport,,1,Y,
RW,AZ003,Classic Air Medical,Steamboat Springs Airport,CO,Steamboat Springs,80477,Airport,1,,Y,
RW,AZ003,Classic Air Medical,Portneuf Medical Center,ID,Pocatello,83201,Hospital,1,,,
RW,AZ003,Classic Air Medical,Los Alamos Municipal Airport,NM,Los Alamos,87544,Airport,1,,Y,
RW,AZ003,Classic Air Medical,Kanab Municipal Airport,UT,Kanab,84741,Airport,1,,Y,
RW,AZ003,Classic Air Medical,Moab Base,UT,Moab,84532,Helipad,1,,,
RW,AZ003,Classic Air Medical,Ashley Regional Medical Center,UT,Vernal,84078,Hospital,1,,,
RW,AZ003,Classic Air Medical,"Lander, WY",WY,Lander,82520,Airport,1,,N,
RW,AZ003,Classic Air Medical,Rawlins Municipal Airport,WY,Rawlins,82301,Airport,1,,Y,
RW,AZ003,Classic Air Medical,Riverton Regional Airport,WY,Riverton,82501,Airport,1,1,Y,
RW,OH009,Cleveland Clinic Critical Care Transport,Burke Lakefront Airport,OH,Cleveland,44114,Airport,3,3,Y,
RW,NY009,Colonie EMS Lifeguard Air Rescue,Albany International Airport,NY,Albany,12211,Airport,2*,,Y,
RW,PA001,Conemaugh Med Star,SomersetHelipad (MedSTAR I),PA,Somerset,15501,Helipad,1,,,
RW,NJ006,Cooper Air Med,Flying W Airport,NJ,Medford,8055,Airport,1,,N,
RW,NJ006,Cooper Air Med,Millville Municipal Airport,NJ,Millville,8332,Airport,1,,Y,
RW,MO006,Cox Air Care,Citizens Memorial Hospital,MO,Bolivar,65613,Hospital,1,,,
RW,MO006,Cox Air Care,Cox Medical Center South,MO,Springfield,65807,Hospital,1,,,Y
FW,GA007,"Critical Care Medflight, Inc.",Witham Field Airport,FL,Stuart,34996,Airport,,2,N,
FW,GA007,"Critical Care Medflight, Inc.",Gwinnett County Airport-Briscoe Field,GA,Lawrenceville,30045,Airport,,1,Y,
FW,AL003,Critical Care Transport,Birmingham International Airport,AL,Birmingham,35212,Airport,,1*,Y,
FW,NM006,CSI Aviation,Albuquerque International Sunport Airport,NM,Albuquerque,87106,Airport,,4,Y,
RW,NC002,Dare Medflight,Dare County Regional Airport,NC,Manteo,27954,Airport,1,,Y,
RW,NH001,Dartmouth-Hitchcock Advanced Response Team,Dartmouth-Hitchcock Medical Center,NH,Lebanon,3756,Hospital,1,,,Y
RW,NH001,Dartmouth-Hitchcock Advanced Response Team,Manchester Airport,NH,Manchester,3103,Airport,2*,,Y,
RW,NH001,Dartmouth-Hitchcock Advanced Response Team,Burlington International Airport,VT,South Burlington,5403,Airport,1,,Y,
RW,GA006,DeKalb County Police,Dekalb County Police Heliport,GA,Decatur,30032,Helipad,2,,,
RW,DE001,Delaware State Police Aviation Unit,Delaware Coastal Airport,DE,Georgetown,19947,Airport,2,,Y,
RW,DE001,Delaware State Police Aviation Unit,Summit Airport,DE,Middletown,19709,Airport,2,,Y,
FW,CA010,Desert Air Ambulance / Desert Critical Transport,Blythe Airport,CA,Blythe,92225,Airport,,1,Y,
FW,CA010,Desert Air Ambulance / Desert Critical Transport,Imperial County Airport,CA,Imperial,92251,Airport,,1,Y,
RW,NC003,Duke Life Flight,Duke University Hospital,NC,Durham,27710,Hospital,1,,,Y
RW,NC003,Duke Life Flight,Johnston County Airport,NC,Smithfield,27577,Airport,1,,Y,
RW,UT003,Eagle Air Med Corporation,Chinle Municipal Airport,AZ,Chinle,86503,Airport,,1,Y,
RW,UT003,Eagle Air Med Corporation,Kayenta Airport,AZ,Kayenta,86033,Airport,1,1,Y,
RW,UT003,Eagle Air Med Corporation,San Luis Valley Regional Airport,CO,Alamosa,81101,Airport,,1,Y,
RW,UT003,Eagle Air Med Corporation,Astronaut Ken Rominger Airport,CO,Del Norte,81132,Airport,,1,N,
RW,UT003,Eagle Air Med Corporation,Gallup Municipal Airport,NM,Gallup,87301,Airport,,2,N,
RW,UT003,Eagle Air Med Corporation,Rosebud Sioux Airport,SD,Rosebud,57570,Airport,,1,Y,
RW,UT003,Eagle Air Med Corporation,Blanding Municipal Airport,UT,Blanding,84511,Airport,,1,Y,
RW,WI001,Eagle III,Austin Straubel International Airport,WI,Green Bay,54313,Airport,,1,Y,
RW,WI001,Eagle III,County Rescue Service Eagle III,WI,Green Bay,54311,Helipad,1,,,
FW,KS001,"EagleMed, LLC",EM04 Dodge City Regional Airport,KS,Dodge City,67801,Airport,,2,Y,
FW,KS001,"EagleMed, LLC",EM24 Goodland Airport (Renner Field),KS,Goodland,67735,Airport,,1,Y,
FW,KS001,"EagleMed, LLC",EM23 Liberal Mid-America Reg. Airport,KS,Liberal,67901,Airport,,1,Y,
FW,KS001,"EagleMed, LLC",EM01 Wichita Mid Continent Airport,KS,Wichita,67209,Airport,,2#,Y,
FW,KS001,"EagleMed, LLC",EM26 - Poplar Bluff Municipal Airport,MO,Poplar Bluff,63901,Airport,,1,Y,
FW,KS001,"EagleMed, LLC",EM28 - Donaldson Center Airport,SC,Greenville,29605,Airport,,1,Y,
FW,KS001,"EagleMed, LLC",EM44 - Rick Husband Amarillo Intl Airport,TX,Amarillo,79108,Airport,,1,Y,
FW,KS001,"EagleMed, LLC",EM29 - Lubbock Preston Smith Intl Airport,TX,Lubbock,79403,Airport,,2,Y,
FW,KS001,"EagleMed, LLC",EM37-David Wayne Hooks Memorial Airport,TX,Tomball,77375,Airport,,1,N,
RW,CA026,East Bay Regional Park Police,Hayward Executive Airport,CA,Hayward,94541,Airport,2,,Y,
RW,CA006,Enloe FlightCare,Enloe Medical Center,CA,Chico,95926,Hospital,2,,,
RW,TN004,"Erlanger Health System
- LIFE FORCE",Life Force 3 Tom B. David Field,GA,Calhoun,30703,Airport,1,,Y,
RW,TN004,"Erlanger Health System
- LIFE FORCE",Life Force 4 Helipad,GA,McCaysville,30555,Helipad,1,,,
RW,TN004,"Erlanger Health System
- LIFE FORCE",LIFE FORCE 6 (Western Carolina Airport),NC,Andrews,28901,Airport,1,,Y,
RW,TN004,"Erlanger Health System
- LIFE FORCE",LIFE FORCE 1 (Cleveland),TN,Cleveland,37312,Airport,1,,Y,
RW,TN004,"Erlanger Health System
- LIFE FORCE",LIFE FORCE 2 (Cumberland),TN,Sparta,38583,Airport,1,,Y,
RW,TN004,"Erlanger Health System
- LIFE FORCE",LIFE FORCE 5 (Winchester),TN,Winchester,37398,Airport,1,,Y,
FW,FL035,Express Air Medical Transport,Jack Bartow Municipal Airport,MI,Midland,48640,Airport,,3,Y,
RW,VA001,Fairfax County Police Helicopter Unit,Fairfax County Police Heliport,VA,Fairfax,22030,Helipad,2,,,
RW,OK004,First Flight,Northeastern Health System,OK,Tahlequah,74464,Hospital,1,,,
RW,FL008,First Flight (Melbourne),Melbourne Airport,FL,Melbourne,32901,Airport,1,,,
RW,WI002,Flight for Life,Northern Illinois Medical Center,IL,McHenry,60050,Hospital,1,,,
RW,WI002,Flight for Life,Waukesha County Airport - Crites Field,WI,Waukesha,53188,Airport,3*,,y,
RW,TX006,Flight for Life (Texas),Flight For Life 3,TX,Longview,75603,Airport,1,,,
RW,TX006,Flight for Life (Texas),Flight For Life 2,TX,Mt. Pleasant,75455,Hospital,1,,,
RW,TX006,Flight for Life (Texas),Flight For Life 1,TX,Palestine,75803,Airport,1,,N,
RW,TX006,Flight for Life (Texas),Flight For Life 5,TX,Tyler,75704,Airport,1,,Y,
RW,TX006,Flight for Life (Texas),Flight For Life 4,TX,Wills Point,75169,Airport,1,,,
RW,CO004,Flight For Life Colorado,St. Francis Medical Center,CO,Colorado Springs,80923,Hospital,1,,,
RW,CO004,Flight For Life Colorado,Mercy Regional Medical Center,CO,Durango,81301,Hospital,2*,,,
RW,CO004,Flight For Life Colorado,La Plata County Airport,CO,Durango,81303,Airport,,1,Y,
RW,CO004,Flight For Life Colorado,Centennial Airport,CO,Englewood,80112,Airport,,2,N,
RW,CO004,Flight For Life Colorado,St. Anthony Summit Med Center,CO,Frisco,80443,Hospital,1,,,
RW,CO004,Flight For Life Colorado,St. Anthony Hospital,CO,Lakewood,80228,Hospital,1,,,Y
RW,CO004,Flight For Life Colorado,St. Mary-Corwin Hospital,CO,Pueblo,81004,Hospital,1,,,
RW,MI002,FlightCare,Ascension St. Mary's,MI,Saginaw,48601,Hospital,1,,,
RW,NM003,Gallup Med Flight,Window Rock Airport,AZ,Window Rock,86515,Airport,,1,Y,
RW,NM003,Gallup Med Flight,Gallup Municipal Airport,NM,Gallup,87301,Airport,3,1,Y,
RW,SC004,GHS Med Trans,Donaldson Hangar,SC,Greenville,29605,Helipad,1,,,
FW,FL005,Global Air Response / US Air Ambulance,Ft. Lauderdale Executive Airport,FL,Ft. Lauderdale,33309,Airport,,1*,N,
FW,FL005,Global Air Response / US Air Ambulance,Raleigh-Durham International Airport,NC,Morrisville,27560,Airport,,1,Y,
FW,IN007,Grace on Wings,Grace On Wings Indianapolis International Airport,IN,Indianapolis,46241,Airport,,2,Y,
RW,AZ005,Guardian Air Transport,Verde Valley Medical Center,AZ,Cottonwood,86326,Hospital,1,,,
RW,AZ005,Guardian Air Transport,Flagstaff Pulliam Airport,AZ,Flagstaff,86001,Airport,2,,Y,
RW,AZ005,Guardian Air Transport,Kingman Airport,AZ,Kingman,86401,Airport,1,,Y,
RW,AZ005,Guardian Air Transport,Hopi Health Care Center,AZ,Polacca,86042,Hospital,1,,,
RW,AZ005,Guardian Air Transport,Show Low Regional Airport,AZ,Show Low,85901,Airport,,1,Y,
RW,AZ005,Guardian Air Transport,Tuba City Regional Health,AZ,Tuba City,86045,Hospital,1,,,
RW,AZ005,Guardian Air Transport,Winslow Airport,AZ,Winslow,86047,Airport,1,,Y,
FW,AK009,Guardian Flight (AK),Anchorage International,AK,Anchorage,99502,Airport,,2,N,
FW,AK009,Guardian Flight (AK),Unalaska / Dutch Harbor,AK,Dutch,99685,Airport,,2,N,
FW,AK009,Guardian Flight (AK),Fairbanks International Airport,AK,Fairbanks,99709,Airport,,4,N,
FW,AK009,Guardian Flight (AK),Juneau International Airport,AK,Juneau,99801,Airport,,2,N,
FW,AK009,Guardian Flight (AK),Ketchikan Airport,AK,Ketchikan,99901,Airport,,1,Y,
FW,AK009,Guardian Flight (AK),Ralph Wein Memorial Airport,AK,Kotzebue,99752,Airport,,2,Y,
FW,AK009,Guardian Flight (AK),Sitka Airport,AK,Sitka,99835,Airport,,2,Y,
RW,UT004,Guardian Flight (WY),Corporate Headquarters,UT,South Jordan,84095,Office,,,,
RW,UT004,Guardian Flight (WY),Cody Base,WY,Cody,82414,Helipad,3,,,
RW,UT004,Guardian Flight (WY),Gillette-Campbell County Airport,WY,Gillette,82716,Airport,,1,Y,
RW,UT004,Guardian Flight (WY),Hunt Field Airport,WY,Lander,82520,Airport,,1,Y,
RW,UT004,Guardian Flight (WY),Riverton Regional Airport,WY,Riverton,82501,Airport,4,,N,
RW,UT004,Guardian Flight (WY),Worland Municipal Airport,WY,Worland,82401,Airport,,1,Y,
RW,WI003,Gundersen AIR,Decorah Municipal Airport,IA,Decorah,52101,Airport,1,,Y,
RW,WI003,Gundersen AIR,Gundersen Lutheran Medical Center Helipads,WI,La Crosse,54601,Hospital,1*,,,
RW,WI003,Gundersen AIR,Sparta/Fort Mc Coy Airport,WI,Sparta,54656,Airport,1,,Y,
RW,PA007,Guthrie Air,Guthrie Helipad,PA,Sayre,18840,Helipad,1,,,
RW,NJ005,Hackensack UMC Air Med,Ocean County AirPark,NJ,Bayville,8721,Airport,2+,,N,
RW,NJ005,Hackensack UMC Air Med,Greenwood Lake Airport,NJ,West Milford,7480,Airport,2+,,Y,
RW,CA007,Hall Air Ambulance,Meadows Field,CA,Bakersfield,93308,Airport,1,,Y,
RW,TX008,HALO-Flight,HALO Flight Alice,TX,Alice,78332,Hospital,1,,,
RW,TX008,HALO-Flight,HALO-Flight Beeville,TX,Beeville,78102,Hospital,1,,,
RW,TX008,HALO-Flight,HALO Flight Operations Center,TX,Corpus Christi,78415,Helipad,2,,,
RW,HI002,Hawaii Fire Department,Waiakea Fire Station,HI,Hilo,96720,Helipad,1,,,
